# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QOKit max_k_xor_sat module (C++ tensor contraction, double-double precision)
# Convention: phase gate e^{-i*(gamma/2)*Z^k}, mixer Rx(2*beta)
# gamma and beta fields use ; as separator for multiple depth values
# All configurations use clause_sign = +1 (XORSAT)
# Format: k,D,p,ctilde,source,gamma,beta
2,3,1,0.692450089730,qokit-cpp-dd,0.615479708669823,0.392699081584979
3,5,13,0.843639146037,qokit-cpp-dd,0.194028379193197;0.357817871017364;0.391825426722353;0.408294693072371;0.415641847488119;0.420867642613635;0.427178426933117;0.43733104707924;0.45396001371294;0.482013448856509;0.52185015477279;0.602519306808282;0.679940499394222,0.380487149572229;0.308918528866105;0.286118107315453;0.278966828066156;0.274929372078225;0.271545857805548;0.266516304169724;0.25779096676478;0.243317266222104;0.224933133124182;0.188350321336978;0.14297111330715;0.067285140551239
3,5,14,0.847228147077,qokit-cpp-dd,0.190649636191861;0.352713950050771;0.386868130131227;0.403307924570039;0.410332971625888;0.414831796083968;0.419618931446081;0.426811221941818;0.439365600913816;0.461072906422986;0.498290591030856;0.539442816777594;0.630285719091095;0.703473960889685,0.379596760226241;0.30756408750117;0.284735088718608;0.277674912942963;0.274014552913414;0.271424885450317;0.267915443183125;0.261717093124875;0.250349089994437;0.23265304405925;0.210567181489507;0.172562015648928;0.128743176732359;0.0620980813180783
3,5,15,0.850429799493,qokit-cpp-dd,0.186933393758237;0.348297781277285;0.382839315803853;0.399289084849092;0.406002160762599;0.410005423967046;0.413836108204086;0.419182424911367;0.427561890887714;0.443101603397534;0.471280645027734;0.516508170657796;0.559876755480525;0.657305426338893;0.72643625024314,0.378622982792805;0.306003243887515;0.283011037173938;0.276043932189407;0.272623417243552;0.270525806202425;0.267939880295748;0.263312441919494;0.255293731212385;0.241531094931807;0.220030659285641;0.194613828063924;0.157537087349685;0.115683835935637;0.0571909642698624
3,5,16,0.853168838874,qokit-cpp-dd,0.18464157125776;0.342968081501057;0.377459034265178;0.394657884938817;0.401079062581474;0.405250392610703;0.408513934767736;0.412948915700077;0.4190944764314;0.429084808222061;0.449237073607541;0.482231608272856;0.538774100300129;0.581668076731406;0.682900416800238;0.748502628502502,0.377745374747103;0.304982695313563;0.281770566684464;0.274696642130581;0.271271358183535;0.269446053447817;0.267398892026793;0.263670617412822;0.257244172306965;0.247759120902033;0.231623012879671;0.205119360903391;0.17766936095617;0.143609732920669;0.10364376067159;0.0527316636669975
3,6,1,0.640718868498,qokit-cpp-dd,0.442258217142922,0.28834367673936
3,6,2,0.691798934915,qokit-cpp-dd,0.338037044433863;0.564690183867307,0.356000560460066;0.209215221206938
3,6,3,0.723248710665,qokit-cpp-dd,0.289687474358811;0.48717225950537;0.558833381022908,0.37756960408759;0.282834576211104;0.17216408731473
3,6,4,0.744482046014,qokit-cpp-dd,0.259907564238219;0.440523651909789;0.492958084872919;0.558151003121622,0.382658878554606;0.305236858448365;0.251368177422324;0.148015048600527
3,6,5,0.760163653167,qokit-cpp-dd,0.239476959485485;0.411631368862787;0.448190464682785;0.494217336006466;0.558203942811638,0.385392658446983;0.312766700268977;0.275372111908893;0.231340185281;0.130440102933245
3,6,6,0.772240845182,qokit-cpp-dd,0.224340937934808;0.390096279945153;0.421803091974874;0.448557233491943;0.493787967060466;0.558750974454489,0.386125135158272;0.315430088060581;0.285424585227066;0.258662999197571;0.215585815662623;0.117106467485156
3,6,7,0.781862670165,qokit-cpp-dd,0.212520594615493;0.373568165054578;0.402828922553353;0.423054559662334;0.446245792468366;0.493798813087884;0.559722813844227,0.385934865207892;0.315919061082054;0.289287913408424;0.271849710391593;0.245767129065767;0.202316710097744;0.106583259651723
3,6,8,0.789729638604,qokit-cpp-dd,0.203077441166654;0.360298267281936;0.388359605862874;0.405185237832602;0.420645888986849;0.443907450287576;0.494623411083545;0.561051647346306,0.385366691364545;0.315236632710237;0.290284674671788;0.27745814983449;0.261696710175099;0.234820141339335;0.190742453427599;0.0979283169506962
3,6,9,0.796296803040,qokit-cpp-dd,0.195210671705633;0.349152487885832;0.376838244108886;0.391967904145685;0.40292118142638;0.417794760463614;0.442481341115756;0.496320091386961;0.562859398390056,0.384421833593224;0.313984017523438;0.289977517664047;0.279649422319109;0.268945375028721;0.25326972521374;0.225098901169273;0.180476427423394;0.0906598206585586
3,6,10,0.801869716899,qokit-cpp-dd,0.188582035246869;0.339693897369206;0.367246772723191;0.381511573227317;0.390027159482302;0.399621758845175;0.41557839811944;0.441798473012938;0.498437052789585;0.564752288879761,0.38340775443175;0.312456468047923;0.288937437246153;0.280069398915203;0.27233294860004;0.262112120721334;0.245722249339903;0.216237242540378;0.171310605133853;0.0845109756896158
